state,year,Total Job Posts by Public Firms,Total AI Job Posts by Public Frms,AI Job% (=Total Job Posts by Public Firms/Total AI Job Posts by Public Firms),Average Salary of AI Jobs,Average Salary of No-AI Jobs,Salary Premium (=Average Salary of AI Jobs/Average Salary of No-AI Jobs)
Alabama,2025,"347,509","5,354",1.54%,"127,356","62,402",104.09%
Alaska,2025,"76,664","2,137",2.79%,"150,018","88,624",69.27%
Arizona,2025,"501,776","10,975",2.19%,"125,548","76,782",63.51%
Arkansas,2025,"327,646","6,672",2.04%,"134,696","72,784",85.06%
California,2025,"2,282,161","133,235",5.84%,"153,603","97,124",58.15%
Colorado,2025,"552,138","16,807",3.04%,"125,845","78,280",60.76%
Connecticut,2025,"318,472","11,711",3.68%,"128,358","84,993",51.02%
Delaware,2025,"141,353","7,610",5.38%,"143,564","94,225",52.36%
Florida,2025,"1,472,163","34,436",2.34%,"112,093","67,157",66.91%
Georgia,2025,"889,458","19,222",2.16%,"134,621","67,454",99.57%
Hawaii,2025,"160,712","4,034",2.51%,"112,939","66,926",68.75%
Idaho,2025,"142,483","3,927",2.76%,"128,995","75,290",71.33%
Illinois,2025,"1,181,435","27,919",2.36%,"135,958","73,342",85.37%
Indiana,2025,"666,297","12,130",1.82%,"128,206","63,887",100.68%
Iowa,2025,"338,941","7,278",2.15%,"123,824","67,674",82.97%
Kansas,2025,"281,009","5,977",2.13%,"129,566","70,366",84.13%
Kentucky,2025,"420,018","6,844",1.63%,"112,541","61,213",83.85%
Louisiana,2025,"334,806","5,401",1.61%,"116,264","61,447",89.21%
Maine,2025,"161,037","4,558",2.83%,"124,185","71,687",73.23%
Maryland,2025,"526,730","19,273",3.66%,"144,143","80,184",79.77%
Massachusetts,2025,"757,355","35,789",4.73%,"138,601","82,159",68.70%
Michigan,2025,"665,069","12,986",1.95%,"112,226","61,218",83.32%
Minnesota,2025,"505,286","15,287",3.03%,"129,358","78,623",64.53%
Mississippi,2025,"244,211","5,544",2.27%,"103,131","59,051",74.65%
Missouri,2025,"604,012","12,380",2.05%,"120,373","68,466",75.81%
Montana,2025,"122,078","2,895",2.37%,"137,619","73,078",88.32%
Nebraska,2025,"209,182","6,102",2.92%,"120,926","78,829",53.40%
Nevada,2025,"229,358","6,371",2.78%,"126,705","77,697",63.07%
New Hampshire,2025,"271,063","4,168",1.54%,"133,037","66,351",100.51%
New Jersey,2025,"598,597","21,865",3.65%,"126,857","85,054",49.15%
New Mexico,2025,"212,080","5,751",2.71%,"129,736","78,407",65.47%
New York,2025,"1,465,025","54,991",3.75%,"139,887","87,304",60.23%
North Carolina,2025,"1,096,551","30,720",2.80%,"135,104","69,458",94.51%
North Dakota,2025,"110,902","4,493",4.05%,"109,954","78,081",40.82%
Ohio,2025,"1,206,238","18,074",1.50%,"112,834","61,287",84.11%
Oklahoma,2025,"283,607","4,965",1.75%,"114,764","65,823",74.35%
Oregon,2025,"305,025","9,027",2.96%,"133,281","77,919",71.05%
Pennsylvania,2025,"1,198,681","25,132",2.10%,"115,803","65,369",77.15%
Rhode Island,2025,"103,369","3,706",3.59%,"139,857","91,443",52.94%
South Carolina,2025,"522,984","9,342",1.79%,"107,268","62,975",70.33%
South Dakota,2025,"95,276","3,008",3.16%,"126,434","82,233",53.75%
Tennessee,2025,"602,953","9,820",1.63%,"108,108","62,450",73.11%
Texas,2025,"2,191,417","59,559",2.72%,"128,843","72,752",77.10%
Utah,2025,"274,974","8,146",2.96%,"122,927","80,219",53.24%
Vermont,2025,"103,598","3,255",3.14%,"131,130","77,374",69.48%
Virginia,2025,"902,695","43,075",4.77%,"135,759","80,883",67.85%
Washington,2025,"691,959","39,908",5.77%,"155,182","98,975",56.79%
"Washington, D.C.",2025,"67,509","4,975",7.37%,"153,704","125,042",22.92%
West Virginia,2025,"182,445","2,868",1.57%,"138,653","64,785",114.02%
Wisconsin,2025,"545,913","10,895",2.00%,"100,839","63,282",59.35%
Wyoming,2025,"90,578","3,554",3.92%,"147,210","96,098",53.19%
empty,2025,"325,679","20,211",6.21%,"156,841","111,385",40.81%
