Occupation,AI Talent% Relative to Total Headcount,AI-Required Position Retention Rate,AI-Required Position Hire Rate,Average Salary for Positions Without AI Requirements,Average Salary for Positions With AI Requirements,AI_Salary_Premium ,Number of Job Posts Without AI Requirement,Number of Job Posts With AI Requirement
account,3.46%,93.60%,3.24%," 99,869 "," 119,301 ",19.46%," 3,681 ", 166 
account analyst,6.11%,95.43%,2.17%," 72,073 "," 75,820 ",5.20%, 915 , 43 
account coordinator,2.59%,95.21%,1.70%," 57,148 "," 64,645 ",13.12%," 3,144 ", 67 
account delivery,7.57%,100.00%,0.00%," 109,989 "," 127,879 ",16.27%, 958 , 83 
account development,8.58%,91.96%,4.26%," 85,815 "," 116,687 ",35.97%," 4,088 ", 234 
account officer,1.21%,100.00%,0.00%," 65,729 "," 94,204 ",43.32%, 63 , 1 
account representative,2.53%,94.61%,4.07%," 64,614 "," 64,819 ",0.32%," 1,112 ", 22 
account sales,2.36%,93.51%,4.10%," 91,118 "," 99,564 ",9.27%," 1,305 ", 31 
account services,4.82%,91.30%,0.00%," 73,342 "," 86,722 ",18.24%," 3,063 ", 124 
accountant,1.32%,99.47%,0.53%," 84,056 "," 86,925 ",3.41%," 2,185 ", 54 
accounting,1.40%,93.58%,1.78%," 78,463 "," 96,878 ",23.47%," 2,832 ", 48 
accounting analyst,5.06%,95.68%,1.67%," 83,712 "," 97,643 ",16.64%," 7,605 ", 145 
accounting finance,2.83%,93.56%,3.06%," 74,154 "," 117,975 ",59.09%, 954 , 39 
accountmanager,5.88%,100.00%,0.00%," 85,591 "," 88,125 ",2.96%," 1,664 ", 31 
accounts,3.73%,96.65%,1.65%," 141,900 "," 107,166 ",-24.48%, 358 , 7 
accounts payable,1.91%,97.16%,1.95%," 57,874 "," 67,153 ",16.03%," 2,344 ", 44 
accounts payable analyst,4.33%,97.93%,0.00%," 66,356 "," 76,070 ",14.64%," 2,767 ", 64 
accounts receivable,1.85%,93.70%,1.40%," 49,645 "," 50,643 ",2.01%," 3,326 ", 42 
actor,2.04%,91.85%,4.38%," 68,597 "," 105,373 ",53.61%," 6,126 ", 243 
actuarial,3.80%,92.98%,4.79%," 114,602 "," 78,159 ",-31.80%, 544 , 10 
actuarial analyst,6.99%,82.58%,4.55%," 98,718 "," 120,026 ",21.58%, 856 , 51 
actuary,8.23%,94.15%,2.82%," 122,704 "," 153,948 ",25.46%," 3,444 ", 342 
adjuster,0.69%,95.00%,0.00%," 63,650 "," 83,108 ",30.57%," 1,089 ", 8 
admin,0.24%,90.91%,0.00%," 54,414 "," 76,190 ",40.02%, 564 , 27 
administration,0.85%,91.32%,0.00%," 76,519 "," 115,325 ",50.71%, 146 , 9 
administrative,0.55%,94.87%,1.90%," 48,054 "," 50,616 ",5.33%," 2,305 ", 56 
administrative coordinator,1.14%,95.41%,1.89%," 70,251 "," 83,936 ",19.48%," 2,631 ", 100 
administrative support,1.53%,94.98%,1.66%," 50,007 "," 55,632 ",11.25%," 5,560 ", 94 
administrator,0.45%,98.39%,0.00%," 68,464 "," 71,138 ",3.91%, 773 , 28 
admissions,1.89%,91.34%,5.44%," 56,707 "," 48,105 ",-15.17%," 1,935 ", 30 
advertising,2.19%,92.84%,4.48%," 104,743 "," 116,477 ",11.20%, 437 , 16 
advisory software engineer,12.00%,96.97%,1.02%," 143,510 "," 164,407 ",14.56%," 2,851 ", 851 
affairs,1.47%,93.89%,6.16%," 124,268 "," 120,206 ",-3.27%, 123 , 11 
agency,0.61%,94.63%,2.63%," 94,331 "," 109,252 ",15.82%, 755 , 18 
agent,0.14%,95.05%,3.23%," 64,891 "," 91,119 ",40.42%, 255 , 6 
agile coach,5.67%,94.20%,1.30%," 107,407 "," 129,622 ",20.68%," 1,565 ", 241 
agm,0.88%,100.00%,0.00%," 80,018 "," 81,218 ",1.50%," 1,253 ", 36 
aircraft maintenance technician,1.95%,96.98%,3.02%," 71,345 "," 70,969 ",-0.53%, 837 , 29 
aircraft mechanic,0.94%,94.40%,1.59%," 61,626 "," 71,545 ",16.09%," 2,539 ", 59 
aircraft technician,1.10%,98.44%,3.18%," 70,496 "," 88,237 ",25.17%, 716 , 23 
airline pilot,1.16%,96.40%,5.92%," 68,795 "," 99,236 ",44.25%," 1,412 ", 42 
alliance,18.23%,94.51%,2.32%," 156,946 "," 180,991 ",15.32%," 8,517 ", 982 
am,0.00%,,," 79,674 "," 126,090 ",58.26%, 273 , 7 
ambassador,4.25%,90.84%,9.13%," 61,316 "," 94,005 ",53.31%, 392 , 5 
aml analyst,1.95%,88.91%,3.03%," 93,578 "," 97,014 ",3.67%, 616 , 227 
analyst,3.35%,95.60%,1.38%," 95,141 "," 99,212 ",4.28%," 1,563 ", 87 
analyst developer,10.56%,96.77%,0.45%," 112,630 "," 115,749 ",2.77%, 212 , 22 
analyst programmer,3.67%,89.44%,0.00%," 109,948 "," 121,063 ",10.11%, 158 , 6 
analytical chemist,2.08%,95.27%,1.57%," 76,855 "," 87,065 ",13.28%," 1,900 ", 123 
android developer,8.22%,95.28%,3.13%," 104,843 "," 122,727 ",17.06%," 1,960 ", 300 
animator,5.97%,92.97%,7.52%," 56,340 "," 94,899 ",68.44%, 425 , 10 
application,2.98%,98.57%,0.00%," 96,183 "," 98,092 ",1.98%, 406 , 14 
application analyst,6.44%,95.62%,1.18%," 98,789 "," 98,167 ",-0.63%," 1,088 ", 65 
application architect,13.95%,96.44%,1.68%," 137,094 "," 146,837 ",7.11%," 1,438 ", 185 
application consultant,9.22%,98.31%,1.01%," 118,351 "," 122,660 ",3.64%, 243 , 42 
application developer,8.52%,97.07%,1.65%," 117,904 "," 108,856 ",-7.67%, 493 , 57 
application development,8.73%,96.49%,1.39%," 133,232 "," 136,084 ",2.14%, 242 , 24 
application development analyst,10.75%,97.71%,0.33%," 98,881 "," 123,670 ",25.07%, 202 , 32 
application engineer,6.02%,94.06%,2.23%," 114,869 "," 130,716 ",13.80%," 1,250 ", 77 
application support,5.19%,99.17%,0.00%," 110,877 "," 125,629 ",13.30%, 358 , 29 
application support analyst,6.97%,96.90%,1.54%," 92,136 "," 95,895 ",4.08%," 1,275 ", 78 
application support engineer,16.26%,95.57%,2.07%," 109,845 "," 113,706 ",3.51%, 550 , 86 
applications,7.52%,93.83%,0.54%," 141,129 "," 163,079 ",15.55%, 638 , 71 
applications developer,11.30%,96.01%,2.06%," 111,661 "," 120,703 ",8.10%, 801 , 104 
applications engineer,5.59%,95.26%,3.03%," 120,600 "," 154,863 ",28.41%," 1,822 ", 143 
ar,0.19%,50.00%,0.00%," 58,495 "," 57,619 ",-1.50%, 146 , 19 
architect,4.56%,96.61%,1.03%," 151,565 "," 184,928 ",22.01%," 1,095 ", 213 
architecture,6.98%,96.17%,2.14%," 114,538 "," 177,040 ",54.57%, 554 , 78 
art,2.16%,92.86%,2.94%," 82,438 "," 108,058 ",31.08%, 881 , 51 
artist,2.04%,97.88%,5.96%," 79,761 "," 116,346 ",45.87%," 1,630 ", 68 
assembler,1.67%,93.47%,6.52%," 40,856 "," 44,036 ",7.78%," 3,612 ", 34 
assembly,0.82%,93.94%,4.63%," 42,997 "," 34,938 ",-18.74%, 760 , 9 
assembly technician,4.16%,96.05%,3.48%," 49,296 "," 51,351 ",4.17%," 5,390 ", 129 
assembly worker,2.39%,94.07%,5.08%," 40,033 "," 39,139 ",-2.23%," 5,173 ", 32 
asset,1.75%,96.69%,1.09%," 119,403 "," 112,382 ",-5.88%, 577 , 20 
asset protection,0.75%,94.05%,1.32%," 58,119 "," 63,676 ",9.56%," 2,570 ", 27 
assets protection,1.38%,92.86%,3.85%," 66,523 "," 97,779 ",46.99%," 3,065 ", 75 
athlete,2.52%,90.82%,10.30%," 66,884 "," 114,024 ",70.48%," 1,304 ", 17 
attorney,1.92%,93.88%,3.80%," 115,727 "," 139,035 ",20.14%," 2,869 ", 151 
audit,2.63%,94.68%,1.33%," 102,270 "," 129,512 ",26.64%," 2,858 ", 111 
auditor,1.38%,95.81%,1.49%," 74,448 "," 77,745 ",4.43%, 828 , 21 
automotive technician,1.54%,95.36%,4.64%," 51,844 "," 59,011 ",13.82%," 5,016 ", 64 
avp,1.56%,96.49%,0.00%," 152,451 "," 183,922 ",20.64%," 1,146 ", 387 
backroom,0.68%,94.68%,3.42%," 38,470 "," 38,724 ",0.66%," 3,802 ", 32 
baker,0.32%,90.24%,7.26%," 34,136 "," 36,017 ",5.51%," 1,925 ", 47 
bakery,0.37%,91.81%,0.00%," 41,046 "," 37,972 ",-7.49%," 1,029 ", 25 
bank,0.34%,70.83%,0.00%," 61,800 "," 37,111 ",-39.95%, 91 , 1 
bank teller,0.50%,93.41%,6.04%," 38,181 "," 41,939 ",9.84%, 560 , 12 
banker,0.13%,97.50%,5.00%," 56,850 "," 116,503 ",104.93%, 199 , 2 
banking,0.59%,100.00%,2.94%," 92,451 "," 67,891 ",-26.57%, 237 , 6 
banking center,0.19%,62.50%,0.00%," 64,386 "," 84,842 ",31.77%," 2,103 ", 36 
banking consultant,2.87%,100.00%,0.00%," 77,086 "," 120,018 ",55.69%, 190 , 10 
banking officer,0.24%,100.00%,0.00%," 62,115 "," 77,413 ",24.63%, 112 , 4 
banquet server,0.57%,90.39%,4.43%," 35,824 "," 37,312 ",4.16%," 3,750 ", 69 
bar,0.45%,100.00%,10.00%," 36,405 "," 45,692 ",25.51%," 1,189 ", 21 
barista,0.15%,97.56%,7.61%," 38,085 "," 56,199 ",47.56%," 1,213 ", 26 
bartender,0.37%,93.84%,10.80%," 29,609 "," 30,459 ",2.87%," 1,486 ", 60 
bdm,3.24%,100.00%,0.00%," 113,499 "," 115,741 ",1.98%, 371 , 22 
beauty,0.20%,83.92%,4.55%," 48,204 "," 60,280 ",25.05%," 1,070 ", 5 
beauty consultant,0.75%,92.78%,6.91%," 50,197 "," 50,665 ",0.93%," 1,464 ", 4 
belt,7.65%,100.00%,1.92%," 132,014 "," 171,762 ",30.11%," 1,647 ", 103 
benefits,1.24%,93.23%,0.47%," 72,574 "," 93,510 ",28.85%," 4,847 ", 162 
benefits administrator,0.76%,93.33%,0.00%," 55,466 "," 68,347 ",23.22%," 4,210 ", 97 
benefits analyst,2.65%,94.17%,0.93%," 76,888 "," 89,725 ",16.70%," 3,290 ", 129 
benefits consultant,2.24%,96.07%,2.32%," 93,117 "," 123,138 ",32.24%," 4,712 ", 224 
bid,3.72%,95.45%,0.00%," 93,349 "," 101,671 ",8.91%," 1,763 ", 52 
billing,1.89%,95.78%,2.70%," 49,006 "," 52,632 ",7.40%," 1,053 ", 29 
billing analyst,5.72%,94.26%,2.23%," 73,908 "," 74,774 ",1.17%," 1,917 ", 64 
book seller,1.57%,91.64%,8.32%," 34,331 "," 33,852 ",-1.39%, 379 , 7 
bookkeeper,0.84%,92.07%,5.49%," 48,819 "," 57,865 ",18.53%, 698 , 35 
branch,0.29%,96.90%,1.02%," 79,436 "," 119,582 ",50.54%," 1,266 ", 17 
branch administrator,0.91%,92.97%,1.08%," 51,899 "," 66,627 ",28.38%," 2,132 ", 29 
branch operations,0.81%,96.15%,3.85%," 58,925 "," 58,900 ",-0.04%, 701 , 9 
branch sales,0.56%,96.90%,1.02%," 83,013 "," 152,428 ",83.62%," 1,314 ", 11 
branch service,0.62%,85.71%,0.00%," 63,443 "," 72,390 ",14.10%, 945 , 10 
brand,2.57%,91.56%,3.43%," 103,148 "," 134,789 ",30.67%," 1,202 ", 25 
brand ambassador,2.86%,89.83%,6.97%," 48,055 "," 44,188 ",-8.05%," 1,646 ", 18 
brand marketing,4.71%,93.25%,2.34%," 115,532 "," 145,995 ",26.37%," 2,787 ", 198 
brand representative,1.90%,90.16%,8.87%," 40,939 "," 46,842 ",14.42%," 2,784 ", 21 
broker,1.11%,92.82%,4.62%," 81,497 "," 98,898 ",21.35%, 242 , 1 
brokerage,1.59%,90.93%,3.85%," 80,729 "," 93,110 ",15.34%, 323 , 10 
business,1.51%,92.79%,2.98%," 110,428 "," 124,163 ",12.44%, 903 , 25 
business account,3.84%,94.69%,2.42%," 83,747 "," 101,357 ",21.03%," 3,379 ", 108 
business administrator,2.10%,98.18%,0.91%," 69,810 "," 72,642 ",4.06%, 88 , 8 
business analysis,16.57%,96.05%,1.15%," 130,253 "," 149,421 ",14.72%," 1,652 ", 143 
business analyst,7.45%,96.72%,1.14%," 100,216 "," 107,277 ",7.05%," 2,717 ", 184 
business analyst consultant,10.77%,97.03%,1.80%," 110,209 "," 118,285 ",7.33%," 3,318 ", 355 
business analyst project,9.59%,94.20%,0.58%," 125,224 "," 152,889 ",22.09%, 233 , 25 
business architect,10.35%,95.81%,0.00%," 142,065 "," 166,325 ",17.08%," 1,673 ", 266 
business banker,0.21%,86.36%,0.00%," 74,845 "," 85,168 ",13.79%, 287 , 2 
business banking,0.76%,95.83%,2.08%," 112,958 "," 121,449 ",7.52%," 1,153 ", 39 
business banking relationship,0.33%,100.00%,0.00%," 98,140 "," 105,082 ",7.07%, 671 , 21 
business consultant,3.57%,95.96%,2.61%," 105,761 "," 121,378 ",14.77%, 190 , 11 
business controller,8.17%,96.92%,1.52%," 114,770 "," 120,030 ",4.58%, 864 , 25 
business coordinator,2.04%,94.99%,1.43%," 54,259 "," 67,742 ",24.85%, 82 , 3 
business data analyst,40.36%,97.19%,1.39%," 98,841 "," 110,125 ",11.42%," 1,458 ", 118 
business developer,8.76%,95.10%,2.67%," 108,491 "," 148,523 ",36.90%, 709 , 36 
business development,5.65%,93.58%,3.35%," 134,940 "," 175,082 ",29.75%," 1,296 ", 50 
business development analyst,9.40%,95.67%,4.66%," 86,553 "," 95,542 ",10.39%, 514 , 17 
business development consultant,6.97%,94.55%,3.53%," 117,843 "," 139,588 ",18.45%, 650 , 26 
business development officer,1.38%,86.13%,0.00%," 101,879 "," 101,211 ",-0.66%, 168 , 12 
business development representative,11.50%,90.07%,5.82%," 75,403 "," 92,177 ",22.25%," 4,496 ", 291 
business finance,7.61%,94.35%,1.90%," 145,887 "," 159,690 ",9.46%, 570 , 28 
business operations,4.95%,95.16%,2.18%," 139,543 "," 163,398 ",17.09%, 657 , 48 
business operations analyst,12.74%,96.12%,1.29%," 85,200 "," 101,007 ",18.55%," 3,820 ", 205 
business planning,11.24%,95.96%,1.86%," 147,770 "," 163,725 ",10.80%," 1,702 ", 95 
business planning analyst,19.68%,96.53%,1.99%," 99,587 "," 107,965 ",8.41%, 631 , 16 
business process,6.35%,95.31%,0.38%," 108,779 "," 116,378 ",6.99%," 1,063 ", 45 
business process analyst,10.36%,95.93%,1.30%," 102,522 "," 112,734 ",9.96%," 2,474 ", 142 
business process consultant,10.38%,96.66%,2.20%," 120,858 "," 133,957 ",10.84%," 1,245 ", 129 
business project,5.46%,96.91%,1.04%," 121,346 "," 137,849 ",13.60%," 2,290 ", 77 
business relationship,3.74%,95.34%,1.80%," 112,036 "," 124,526 ",11.15%," 1,710 ", 101 
business sales,4.08%,95.50%,2.97%," 101,953 "," 137,979 ",35.34%," 1,404 ", 59 
business services,2.93%,95.93%,2.56%," 118,940 "," 136,584 ",14.83%, 153 , 12 
business solutions,10.71%,95.16%,1.67%," 120,889 "," 137,350 ",13.62%, 983 , 84 
business strategy,12.67%,93.59%,3.69%," 153,126 "," 165,297 ",7.95%, 359 , 38 
business support,2.60%,100.00%,1.25%," 80,198 "," 96,118 ",19.85%, 301 , 11 
